Age,Age.R,  Age (kyr),   Temperature (C) 
44382,-44382,44.382,-40.367
44337,-44337,44.337,-40.5505
44294,-44294,44.294,-41.0398
44248,-44248,44.248,-41.5596
44202,-44202,44.202,-42.263
44149,-44149,44.149,-43.3128
44093,-44093,44.093,-44.0774
44041,-44041,44.041,-44.1489
43982,-43982,43.982,-43.5985
43925,-43925,43.925,-43.5679
43863,-43863,43.863,-44.3731
43808,-43808,43.808,-44.9236
43748,-43748,43.748,-45.3823
43687,-43687,43.687,-45.1376
43631,-43631,43.631,-45.4333
43570,-43570,43.57,-45.4841
43515,-43515,43.515,-46.0346
43451,-43451,43.451,-45.3517
43394,-43394,43.394,-44.3731
43343,-43343,43.343,-43.2621
43295,-43295,43.295,-44.8725
43241,-43241,43.241,-47.2988
43180,-43180,43.18,-49.582
43123,-43123,43.123,-50.3465
43069,-43069,43.069,-50.6829
43005,-43005,43.005,-50.6321
42943,-42943,42.943,-50.8257
42877,-42877,42.877,-51.3761
42814,-42814,42.814,-51.8349
42751,-42751,42.751,-52.0284
42686,-42686,42.686,-51.2437
42619,-42619,42.619,-48.0529
42572,-42572,42.572,-44.2303
42524,-42524,42.524,-41.5291
42479,-42479,42.479,-40.581
42431,-42431,42.431,-40.8052
42390,-42390,42.39,-40.1223
42347,-42347,42.347,-40.4486
42296,-42296,42.296,-40.8462
42246,-42246,42.246,-41.478
42196,-42196,42.196,-41.6208
42153,-42153,42.153,-41.3456
42100,-42100,42.1,-41.4578
42052,-42052,42.052,-42.5688
42002,-42002,42.002,-43.782
41946,-41946,41.946,-45.0153
41895,-41895,41.895,-45.4434
41840,-41840,41.84,-45.678
41783,-41783,41.783,-45.1275
41733,-41733,41.733,-45.5453
41683,-41683,41.683,-47.4413
41634,-41634,41.634,-49.8165
41582,-41582,41.582,-51.2437
41535,-41535,41.535,-51.1927
41471,-41471,41.471,-50.9275
41419,-41419,41.419,-50.4281
41363,-41363,41.363,-49.9694
41312,-41312,41.312,-49.2661
41261,-41261,41.261,-48.2263
41210,-41210,41.21,-44.944
41170,-41170,41.17,-42.0284
41129,-41129,41.129,-40.2957
41084,-41084,41.084,-40.9174
41047,-41047,41.047,-42.1508
41002,-41002,41.002,-43.0887
40954,-40954,40.954,-43.415
40903,-40903,40.903,-43.007
40861,-40861,40.861,-42.793
40819,-40819,40.819,-44.0673
40775,-40775,40.775,-45.9428
40726,-40726,40.726,-47.4924
40687,-40687,40.687,-49.4902
40644,-40644,40.644,-49.8777
40600,-40600,40.6,-50.7239
40558,-40558,40.558,-49.2761
40506,-40506,40.506,-49.3783
40460,-40460,40.46,-48.5832
40409,-40409,40.409,-48.1856
40357,-40357,40.357,-48.1346
40288,-40288,40.288,-46.6361
40232,-40232,40.232,-45.311
40172,-40172,40.172,-44.1284
40106,-40106,40.106,-46.0651
40044,-40044,40.044,-48.1346
39971,-39971,39.971,-50.3976
39890,-39890,39.89,-50.9633
39809,-39809,39.809,-51.0703
39716,-39716,39.716,-51.9878
39630,-39630,39.63,-51.9367
39551,-39551,39.551,-50.6575
39469,-39469,39.469,-49.9083
39385,-39385,39.385,-50.4434
39302,-39302,39.302,-50.4587
39221,-39221,39.221,-50.8052
39142,-39142,39.142,-50.7239
39064,-39064,39.064,-51.0297
38990,-38990,38.99,-51.3303
38909,-38909,38.909,-51.0602
38831,-38831,38.831,-50.2599
38749,-38749,38.749,-49.9899
38677,-38677,38.677,-49.7758
38603,-38603,38.603,-48.9092
38537,-38537,38.537,-48.2263
38470,-38470,38.47,-44.5667
38413,-38413,38.413,-41.0908
38358,-38358,38.358,-37.7982
38307,-38307,38.307,-37.319
38239,-38239,38.239,-37.4924
38170,-38170,38.17,-37.9817
38100,-38100,38.1,-38.6443
38031,-38031,38.031,-39.3578
37968,-37968,37.968,-39.3578
37905,-37905,37.905,-39.1132
37842,-37842,37.842,-39.215
37779,-37779,37.779,-38.8991
37722,-37722,37.722,-38.8685
37668,-37668,37.668,-39.0009
37612,-37612,37.612,-39.9694
37557,-37557,37.557,-40.4382
37507,-37507,37.507,-40.53
37452,-37452,37.452,-40.6829
37397,-37397,37.397,-40.6217
37342,-37342,37.342,-40.581
37285,-37285,37.285,-40.3058
37230,-37230,37.23,-40.3771
37181,-37181,37.181,-41.1009
37127,-37127,37.127,-41.5697
37073,-37073,37.073,-41.6208
37019,-37019,37.019,-41.5086
36965,-36965,36.965,-41.2844
36912,-36912,36.912,-41.5902
36860,-36860,36.86,-42.1612
36807,-36807,36.807,-43.1498
36747,-36747,36.747,-44.9746
36690,-36690,36.69,-45.5758
36629,-36629,36.629,-46.4119
36574,-36574,36.574,-46.6361
36519,-36519,36.519,-45.4229
36464,-36464,36.464,-44.6994
36414,-36414,36.414,-43.8125
36366,-36366,36.366,-44.4648
36312,-36312,36.312,-45.2089
36264,-36264,36.264,-47.1765
36209,-36209,36.209,-49.1336
36154,-36154,36.154,-50.3159
36099,-36099,36.099,-50.7645
36044,-36044,36.044,-51.3661
35981,-35981,35.981,-51.6208
35923,-35923,35.923,-51.2232
35865,-35865,35.865,-51.5086
35808,-35808,35.808,-52.9969
35744,-35744,35.744,-52.8339
35671,-35671,35.671,-52.5587
35609,-35609,35.609,-51.2232
35547,-35547,35.547,-50.9379
35485,-35485,35.485,-50.8563
35423,-35423,35.423,-50.5098
35362,-35362,35.362,-48.5728
35308,-35308,35.308,-45.0153
35270,-35270,35.27,-41.4168
35223,-35223,35.223,-40.2853
35185,-35185,35.185,-40.1122
35141,-35141,35.141,-40.9991
35100,-35100,35.1,-41.2743
35058,-35058,35.058,-41.2639
35010,-35010,35.01,-40.8156
34965,-34965,34.965,-41.3661
34922,-34922,34.922,-41.9572
34879,-34879,34.879,-43.3333
34830,-34830,34.83,-44.3119
34782,-34782,34.782,-45.5658
34733,-34733,34.733,-45.4434
34685,-34685,34.685,-45.2599
34629,-34629,34.629,-45.3416
34584,-34584,34.584,-45.7798
34534,-34534,34.534,-47.8798
34474,-34474,34.474,-49.1642
34415,-34415,34.415,-50.6422
34348,-34348,34.348,-50.3875
34284,-34284,34.284,-50.948
34224,-34224,34.224,-50.4893
34158,-34158,34.158,-50.163
34092,-34092,34.092,-49.4801
34026,-34026,34.026,-49.6229
33960,-33960,33.96,-49.3272
33894,-33894,33.894,-49.1844
33829,-33829,33.829,-49.3373
33759,-33759,33.759,-49.6229
33691,-33691,33.691,-46.952
33625,-33625,33.625,-43.1398
33558,-33558,33.558,-40.8868
33493,-33493,33.493,-41.6309
33425,-33425,33.425,-42.8034
33357,-33357,33.357,-42.9664
33289,-33289,33.289,-43.1092
33220,-33220,33.22,-43.945
33151,-33151,33.151,-45.6269
33082,-33082,33.082,-48.9196
33019,-33019,33.019,-51.2844
32951,-32951,32.951,-52.844
32883,-32883,32.883,-53.048
32815,-32815,32.815,-53.2416
32745,-32745,32.745,-53.048
32676,-32676,32.676,-52.2936
32609,-32609,32.609,-52.1612
32544,-32544,32.544,-51.3661
32476,-32476,32.476,-50.8868
32410,-32410,32.41,-48.0327
32346,-32346,32.346,-45.0459
32283,-32283,32.283,-41.6309
32221,-32221,32.221,-40.6933
32161,-32161,32.161,-40.9581
32099,-32099,32.099,-41.3661
32041,-32041,32.041,-42.3752
31981,-31981,31.981,-42.8034
31926,-31926,31.926,-43.9655
31866,-31866,31.866,-44.9236
31806,-31806,31.806,-46.3609
31746,-31746,31.746,-47.3599
31681,-31681,31.681,-48.6544
31619,-31619,31.619,-50.1018
31559,-31559,31.559,-51.0193
31497,-31497,31.497,-51.6921
31433,-31433,31.433,-51.4985
31369,-31369,31.369,-52.2324
31305,-31305,31.305,-52.0489
31241,-31241,31.241,-52.5177
31178,-31178,31.178,-52.3343
31113,-31113,31.113,-51.4985
31046,-31046,31.046,-51.4884
30980,-30980,30.98,-51.2743
30914,-30914,30.914,-52.1814
30852,-30852,30.852,-52.5587
30783,-30783,30.783,-51.7532
30721,-30721,30.721,-51.5596
30657,-30657,30.657,-49.6535
30596,-30596,30.596,-49.3884
30536,-30536,30.536,-49.2049
30468,-30468,30.468,-50.1734
30401,-30401,30.401,-50.8969
30336,-30336,30.336,-51.0092
30271,-30271,30.271,-52.3648
30206,-30206,30.206,-52.8746
30140,-30140,30.14,-53.0786
30070,-30070,30.07,-52.3954
30005,-30005,30.005,-53.1905
29938,-29938,29.938,-53.3028
29878,-29878,29.878,-53.2621
29817,-29817,29.817,-53.048
29744,-29744,29.744,-53.5933
29662,-29662,29.662,-52.5994
29586,-29586,29.586,-51.7226
29506,-29506,29.506,-51.478
29437,-29437,29.437,-50.8462
29375,-29375,29.375,-50.53
29315,-29315,29.315,-50.0511
29253,-29253,29.253,-50.948
29187,-29187,29.187,-50.5404
29125,-29125,29.125,-48.7361
29071,-29071,29.071,-44.6584
29028,-29028,29.028,-41.7125
28979,-28979,28.979,-39.0725
28929,-28929,28.929,-40.163
28881,-28881,28.881,-40.3771
28836,-28836,28.836,-41.7226
28789,-28789,28.789,-41.845
28742,-28742,28.742,-44.6278
28687,-28687,28.687,-47.37
28628,-28628,28.628,-50.5606
28578,-28578,28.578,-50.9275
28517,-28517,28.517,-49.8572
28455,-28455,28.455,-49.1336
28392,-28392,28.392,-49.5514
28325,-28325,28.325,-50.6422
28255,-28255,28.255,-51.3661
28181,-28181,28.181,-50.6728
28104,-28104,28.104,-50.367
28025,-28025,28.025,-48.318
27944,-27944,27.944,-45.2294
27882,-27882,27.882,-41.3557
27828,-27828,27.828,-38.267
27774,-27774,27.774,-38.7156
27720,-27720,27.72,-39.5924
27671,-27671,27.671,-40.8156
27614,-27614,27.614,-40.9786
27559,-27559,27.559,-43.1599
27489,-27489,27.489,-45.7187
27419,-27419,27.419,-48.6951
27346,-27346,27.346,-49.6025
27277,-27277,27.277,-49.419
27207,-27207,27.207,-48.5832
27145,-27145,27.145,-48.1141
27085,-27085,27.085,-48.7563
27018,-27018,27.018,-48.7055
26956,-26956,26.956,-48.6443
26892,-26892,26.892,-48.1245
26831,-26831,26.831,-48.7972
26768,-26768,26.768,-49.9899
26710,-26710,26.71,-49.3783
26647,-26647,26.647,-49.215
26583,-26583,26.583,-48.7156
26513,-26513,26.513,-49.4902
26445,-26445,26.445,-49.8471
26374,-26374,26.374,-49.0725
26309,-26309,26.309,-48.7361
26242,-26242,26.242,-47.3905
26175,-26175,26.175,-48.3385
26110,-26110,26.11,-48.522
26043,-26043,26.043,-50.2957
25973,-25973,25.973,-49.8572
25901,-25901,25.901,-49.7758
25831,-25831,25.831,-49.6431
25766,-25766,25.766,-51.3966
25700,-25700,25.7,-52.8135
25630,-25630,25.63,-53.5474
25563,-25563,25.563,-52.0896
25495,-25495,25.495,-50.418
25426,-25426,25.426,-49.6431
25361,-25361,25.361,-49.5413
25294,-25294,25.294,-50.0407
25229,-25229,25.229,-49.6942
25164,-25164,25.164,-48.9603
25099,-25099,25.099,-47.4211
25037,-25037,25.037,-47.4312
24976,-24976,24.976,-48.3997
24910,-24910,24.91,-51.0193
24841,-24841,24.841,-50.7239
24780,-24780,24.78,-51.5697
24714,-24714,24.714,-50.581
24653,-24653,24.653,-51.2538
24591,-24591,24.591,-49.3171
24531,-24531,24.531,-48.9603
24463,-24463,24.463,-48.5015
24401,-24401,24.401,-49.6125
24337,-24337,24.337,-50.5199
24267,-24267,24.267,-51.2639
24208,-24208,24.208,-52.4872
24153,-24153,24.153,-53.1499
24098,-24098,24.098,-53.415
24038,-24038,24.038,-53.3945
23986,-23986,23.986,-53.0887
23934,-23934,23.934,-52.8541
23874,-23874,23.874,-52.9257
23814,-23814,23.814,-52.3242
23753,-23753,23.753,-52.5177
23694,-23694,23.694,-51.152
23630,-23630,23.63,-51.2437
23566,-23566,23.566,-49.5312
23505,-23505,23.505,-47.8287
23444,-23444,23.444,-43.9755
23392,-23392,23.392,-42.2119
23341,-23341,23.341,-43.211
23297,-23297,23.297,-46.1468
23247,-23247,23.247,-48.9502
23185,-23185,23.185,-49.2966
23133,-23133,23.133,-49.47
23082,-23082,23.082,-47.7777
23028,-23028,23.028,-45.4333
22974,-22974,22.974,-43.8327
22926,-22926,22.926,-44.73
22871,-22871,22.871,-47.1459
22815,-22815,22.815,-48.1245
22763,-22763,22.763,-48.267
22707,-22707,22.707,-48.5526
22650,-22650,22.65,-49.0419
22595,-22595,22.595,-48.9398
22538,-22538,22.538,-48.1651
22481,-22481,22.481,-48.1856
22421,-22421,22.421,-48.889
22359.5,-22359.5,22.3595,-49.47
22298.5,-22298.5,22.2985,-48.8174
22251.5,-22251.5,22.2515,-48.0021
22186.5,-22186.5,22.1865,-47.4719
22138.5,-22138.5,22.1385,-48.0835
22090.5,-22090.5,22.0905,-48.6138
22035.5,-22035.5,22.0355,-48.7055
21979.5,-21979.5,21.9795,-49.1538
21916,-21916,21.916,-48.7869
21856,-21856,21.856,-49.2254
21793,-21793,21.793,-48.1346
21727,-21727,21.727,-49.0315
21671,-21671,21.671,-49.256
21612,-21612,21.612,-50.4893
21556,-21556,21.556,-49.9183
21502,-21502,21.502,-49.5514
21449,-21449,21.449,-49.0725
21396,-21396,21.396,-49.8572
21345,-21345,21.345,-50.4893
21292,-21292,21.292,-50.6321
21239,-21239,21.239,-49.6942
21191,-21191,21.191,-49.2355
21137,-21137,21.137,-48.9603
21087,-21087,21.087,-48.7972
21036,-21036,21.036,-48.3997
20982,-20982,20.982,-48.4609
20926,-20926,20.926,-48.0428
20877,-20877,20.877,-47.6248
20830,-20830,20.83,-47.2272
20774,-20774,20.774,-47.4719
20721,-20721,20.721,-46.585
20671,-20671,20.671,-45.5862
20621,-20621,20.621,-44.5055
20572,-20572,20.572,-45.5147
20526,-20526,20.526,-44.9541
20478,-20478,20.478,-45.0664
20425,-20425,20.425,-45.1275
20376,-20376,20.376,-46.7991
20331,-20331,20.331,-48.3691
20281,-20281,20.281,-48.3079
20233,-20233,20.233,-47.533
20188,-20188,20.188,-47.0236
20144,-20144,20.144,-46.4933
20099,-20099,20.099,-46.3609
20051,-20051,20.051,-45.7492
20007,-20007,20.007,-45.311
19954,-19954,19.954,-45.9226
19904,-19904,19.904,-45.9939
19858,-19858,19.858,-46.5749
19812,-19812,19.812,-45.9122
19761,-19761,19.761,-46.045
19708,-19708,19.708,-45.637
19658,-19658,19.658,-45.3517
19602,-19602,19.602,-45.0664
19560,-19560,19.56,-45.3211
19511,-19511,19.511,-45.4841
19466,-19466,19.466,-45.4028
19422,-19422,19.422,-45.0459
19382,-19382,19.382,-45.0664
19336,-19336,19.336,-44.6177
19293,-19293,19.293,-43.7309
19253,-19253,19.253,-42.9257
19210,-19210,19.21,-42.6606
19167,-19167,19.167,-42.9664
19126,-19126,19.126,-43.8431
19077,-19077,19.077,-43.8226
19033,-19033,19.033,-43.8327
18980,-18980,18.98,-43.2009
18927,-18927,18.927,-43.2722
18877,-18877,18.877,-43.6492
18819,-18819,18.819,-43.9349
18767,-18767,18.767,-43.3128
18715,-18715,18.715,-43.9144
18663,-18663,18.663,-44.4343
18610,-18610,18.61,-45.9838
18563,-18563,18.563,-45.1477
18514,-18514,18.514,-44.8523
18464,-18464,18.464,-43.5373
18408,-18408,18.408,-44.108
18360,-18360,18.36,-44.1385
18317,-18317,18.317,-44.4749
18266,-18266,18.266,-43.9755
18216,-18216,18.216,-43.6291
18165,-18165,18.165,-44.2914
18116,-18116,18.116,-44.689
18071,-18071,18.071,-44.4853
18019,-18019,18.019,-43.8838
17970,-17970,17.97,-43.3232
17920,-17920,17.92,-43.578
17869,-17869,17.869,-44.8725
17821,-17821,17.821,-45.8817
17776,-17776,17.776,-46.3202
17730,-17730,17.73,-45.7697
17684,-17684,17.684,-44.8113
17638,-17638,17.638,-44.2303
17593,-17593,17.593,-43.5168
17548,-17548,17.548,-44.73
17503,-17503,17.503,-44.6994
17458,-17458,17.458,-44.7502
17416,-17416,17.416,-43.8021
17374,-17374,17.374,-44.6584
17333,-17333,17.333,-44.7502
17284,-17284,17.284,-45.0229
17284,-17284,17.284,-44.6076
17245,-17245,17.245,-45.8181
17169,-17169,17.169,-47.7777
17127,-17127,17.127,-48.2162
17083,-17083,17.083,-47.6352
17042,-17042,17.042,-48.3691
16998,-16998,16.998,-47.4159
16998,-16998,16.998,-47.5229
16960,-16960,16.96,-47.0795
16919,-16919,16.919,-45.1453
16885,-16885,16.885,-45.734
16845,-16845,16.845,-45.2982
16813,-16813,16.813,-45.9404
16773,-16773,16.773,-47.3318
16740,-16740,16.74,-47.0872
16702,-16702,16.702,-47.5382
16662,-16662,16.662,-46.9037
16629,-16629,16.629,-47.0642
16553,-16553,16.553,-47.6352
16510,-16510,16.51,-47.2171
16465,-16465,16.465,-46.2997
16465,-16465,16.465,-46.6055
16389,-16389,16.389,-45.8104
16389,-16389,16.389,-45.4639
16348,-16348,16.348,-45.841
16314,-16314,16.314,-45.7034
16274,-16274,16.274,-46.1621
16236,-16236,16.236,-45.6957
16159,-16159,16.159,-45.5557
16115,-16115,16.115,-45.2193
16072,-16072,16.072,-45.6881
16033,-16033,16.033,-47.0948
15990,-15990,15.99,-48.481
15946,-15946,15.946,-49.2661
15946,-15946,15.946,-49.5413
15903,-15903,15.903,-48.8609
15825,-15825,15.825,-47.5434
15784,-15784,15.784,-46.626
15740,-15740,15.74,-47.1789
15740,-15740,15.74,-46.7073
15660,-15660,15.66,-47.4823
15618,-15618,15.618,-46.0245
15579,-15579,15.579,-44.9694
15579,-15579,15.579,-44.7606
15535,-15535,15.535,-45.3364
15500,-15500,15.5,-45.344
15420,-15420,15.42,-45.5046
15375,-15375,15.375,-45.1171
15333,-15333,15.333,-44.7706
15292,-15292,15.292,-44.1361
15292,-15292,15.292,-44.6789
15250,-15250,15.25,-43.4327
15214,-15214,15.214,-43.448
15176,-15176,15.176,-42.8899
15142,-15142,15.142,-43.6162
15108,-15108,15.108,-44.3425
15074,-15074,15.074,-44.6636
15035,-15035,15.035,-45.2141
15001,-15001,15.001,-45.107
14968,-14968,14.968,-45.2829
14932,-14932,14.932,-45.5581
14897,-14897,14.897,-45.0153
14860,-14860,14.86,-44.633
14824,-14824,14.824,-44.6713
14788,-14788,14.788,-44.5872
14749,-14749,14.749,-44.3043
14711,-14711,14.711,-42.8073
14688,-14688,14.688,-41.1621
14669,-14669,14.669,-38.267
14669,-14669,14.669,-38.9847
14648,-14648,14.648,-36.1061
14629,-14629,14.629,-34.6177
14612,-14612,14.612,-33.7055
14596,-14596,14.596,-33.1551
14580,-14580,14.58,-32.9795
14565,-14565,14.565,-32.2719
14548,-14548,14.548,-31.7737
14532,-14532,14.532,-32.1144
14516,-14516,14.516,-31.992
14500,-14500,14.5,-32.3765
14485,-14485,14.485,-32.7917
14470,-14470,14.47,-33.3281
14454,-14454,14.454,-34.1997
14436,-14436,14.436,-34.2713
14419,-14419,14.419,-34.5055
14401,-14401,14.401,-34.2303
14384,-14384,14.384,-34.1031
14369,-14369,14.369,-34.2813
14352,-14352,14.352,-34.256
14334,-14334,14.334,-34.3884
14318,-14318,14.318,-34.9388
14299,-14299,14.299,-35.8205
14281,-14281,14.281,-36.4168
14261,-14261,14.261,-37.2018
14244,-14244,14.244,-37.7012
14225,-14225,14.225,-38.1703
14206,-14206,14.206,-38.3893
14187,-14187,14.187,-38.3792
14171,-14171,14.171,-39.4291
14131,-14131,14.131,-40.3425
14110,-14110,14.11,-41.6024
14081,-14081,14.081,-42.6422
14051,-14051,14.051,-42.9908
14031,-14031,14.031,-41.792
14010,-14010,14.01,-40.8012
13988,-13988,13.988,-39.6697
13969,-13969,13.969,-39.0153
13947,-13947,13.947,-38.7829
13924,-13924,13.924,-39.3761
13902,-13902,13.902,-39.37
13882,-13882,13.882,-39.37
13862,-13862,13.862,-39.1795
13862,-13862,13.862,-39.2355
13841,-13841,13.841,-39.1437
13821,-13821,13.821,-38.9144
13802,-13802,13.802,-38.8939
13762,-13762,13.762,-39.0031
13742,-13742,13.742,-39.2294
13720,-13720,13.72,-40.1162
13697,-13697,13.697,-40.4771
13672,-13672,13.672,-40.526
13647,-13647,13.647,-40.0306
13625,-13625,13.625,-39.2966
13625,-13625,13.625,-39.6758
13605,-13605,13.605,-38.6034
13588,-13588,13.588,-38.4303
13547,-13547,13.547,-38.5138
13527,-13527,13.527,-39.0398
13504,-13504,13.504,-39.3211
13482,-13482,13.482,-39.6147
13460,-13460,13.46,-39.0581
13436,-13436,13.436,-39.578
13416,-13416,13.416,-39.9817
13393,-13393,13.393,-40.6055
13366,-13366,13.366,-41.2049
13344,-13344,13.344,-42.2569
13316,-13316,13.316,-43.3639
13291,-13291,13.291,-43.8165
13262,-13262,13.262,-45.0841
13236,-13236,13.236,-46.1774
13205,-13205,13.205,-46.2156
13173,-13173,13.173,-45.7645
13145,-13145,13.145,-45.0092
13122,-13122,13.122,-44.2569
13102,-13102,13.102,-43.1376
13079,-13079,13.079,-41.9083
13055,-13055,13.055,-41.5535
13035,-13035,13.035,-41.0703
13014,-13014,13.014,-41.156
12993,-12993,12.993,-41.3517
12973,-12973,12.973,-42.104
12948,-12948,12.948,-44.1208
12920,-12920,12.92,-45.9021
12887,-12887,12.887,-48.0428
12854,-12854,12.854,-49.2049
12817,-12817,12.817,-49.6483
12779,-12779,12.779,-49.5107
12745,-12745,12.745,-49.5489
12705,-12705,12.705,-50.13
12666,-12666,12.666,-49.7706
12628,-12628,12.628,-49.4878
12588,-12588,12.588,-48.9679
12550,-12550,12.55,-48.3945
12511,-12511,12.511,-48.1575
12475,-12475,12.475,-48.1881
12438,-12438,12.438,-48.3028
12401,-12401,12.401,-47.6758
12322,-12322,12.322,-47.5306
12322,-12322,12.322,-47.3801
12280,-12280,12.28,-47.2018
12246,-12246,12.246,-47.6223
12213,-12213,12.213,-47.7217
12174,-12174,12.174,-47.3471
12140,-12140,12.14,-46.9954
12104,-12104,12.104,-46.2844
12063,-12063,12.063,-46.5673
12029,-12029,12.029,-46.6132
11993,-11993,11.993,-46.4908
11959,-11959,11.959,-47.737
11922,-11922,11.922,-47.6911
11889,-11889,11.889,-47.6682
11857,-11857,11.857,-48.3028
11823,-11823,11.823,-47.1024
11790,-11790,11.79,-46.4679
11755,-11755,11.755,-46.8731
11723,-11723,11.723,-45.4358
11690,-11690,11.69,-44.3364
11666,-11666,11.666,-41.5342
11666,-11666,11.666,-42.4037
11647,-11647,11.647,-39.8676
11628,-11628,11.628,-37.8034
11611,-11611,11.611,-36.6413
11594,-11594,11.594,-36.152
11576,-11576,11.576,-36.3355
11558,-11558,11.558,-35.8969
11542,-11542,11.542,-35.8847
11527,-11527,11.527,-36.5226
11512,-11512,11.512,-36.6187
11496,-11496,11.496,-36.6361
11479,-11479,11.479,-37.3495
11462,-11462,11.462,-38.0428
11446,-11446,11.446,-38.7563
11427,-11427,11.427,-38.8125
11408,-11408,11.408,-39.4547
11389,-11389,11.389,-39.4242
11371,-11371,11.371,-38.7716
11354,-11354,11.354,-38.3945
11339,-11339,11.339,-37.7728
11324,-11324,11.324,-37.7459
11307,-11307,11.307,-36.422
11289,-11289,11.289,-36.3661
11274,-11274,11.274,-35.8061
11258,-11258,11.258,-35.4609
11243,-11243,11.243,-35.3954
11229,-11229,11.229,-35.4566
11213,-11213,11.213,-35.3691
11197,-11197,11.197,-35.4523
11180,-11180,11.18,-35.3911
11163,-11163,11.163,-35.9939
11149,-11149,11.149,-36.304
11135,-11135,11.135,-36.3914
11120,-11120,11.12,-36.0682
11101,-11101,11.101,-35.9327
11087,-11087,11.087,-36.208
11071,-11071,11.071,-36.2211
11057,-11057,11.057,-35.7361
11039,-11039,11.039,-35.618
11025,-11025,11.025,-35.3474
11011,-11011,11.011,-35.4523
10995,-10995,10.995,-35.404
10980,-10980,10.98,-35.1465
10965,-10965,10.965,-34.963
10951,-10951,10.951,-35.544
10937,-10937,10.937,-35.5352
10921,-10921,10.921,-35.5526
10891,-10891,10.891,-35.1263
10877,-10877,10.877,-35.0771
10862,-10862,10.862,-35.0468
10847,-10847,10.847,-35.0125
10833,-10833,10.833,-34.9272
10819,-10819,10.819,-34.8006
10819,-10819,10.819,-34.8495
10806,-10806,10.806,-34.6954
10792,-10792,10.792,-34.5911
10762,-10762,10.762,-34.3801
10762,-10762,10.762,-34.415
10747,-10747,10.747,-34.2847
10734,-10734,10.734,-34.204
10720,-10720,10.72,-34.1251
10706,-10706,10.706,-34.0437
10692,-10692,10.692,-33.9459
10678,-10678,10.678,-33.8551
10662,-10662,10.662,-33.7566
10648,-10648,10.648,-33.6404
10634,-10634,10.634,-33.5587
10620,-10620,10.62,-33.4807
10606,-10606,10.606,-33.389
